District,Lat,Long
Central & Western,22.273,114.1499
Wan Chai,22.2762,114.1826
Eastern,22.2734,114.2361
Southern,22.2432,114.1974
Yau Tsim Mong,22.3116,114.1707
Sham Shui Po,22.3321,114.1469
Kowloon City,22.3232,114.1856
Wong Tai Sin,22.3548,114.1974
Kwun Tong,22.3157,114.2331
Kwai Tsing,22.3549,114.1261
Tsuen Wan,22.3713,114.1142
Tuen Mun,22.3908,113.9725
Yuen Long,22.4445,114.0222
North,22.5009,114.1558
Tai Po,22.4423,114.1655
Sha Tin,22.3864,114.2093
Sai Kung,22.3834,114.271
Islands,22.2628,113.9655
