District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Sai Kung,Yee Ching House Yee Ming Estate,,"58,128"
Wan Chai,Envoy Garden,,"114, 213"
Southern,"Block 28, Baguio Villa",,"Case notified by the health authority of Canada and Case 117, 118"
Tai Po,"Heng Tai House, Fu Heng Estate",,"119, 124, 140"
Tuen Mun,"On Hei House, Siu Hei Court",,"120, 121"
Sha Tin,"Mau Lam House, Kwong Lam Court",,122
Tsuen Wan,"Tower 7, Bellagio",,"123, 129"
Kwun Tong,"Block T, Telford Gardens",,125
Kwun Tong,"Block 26, Phase 2, Laguna City",,"126, 127"
Kwai Tsing,iPlace,,"130, 131,133, 138"
Central & Western,"Serene Court, 35 Sai Ning Street",,132
Tai Po,"Ng Tung Chai, Lam Tsuen",,134
Central & Western,View Villa,,135
Southern,18 Stanley Main Street,,136
Wan Chai,"Block A, Tai Hang Terrace",,137
Eastern,Cornell Centre,,139
Sai Kung,684 Clear Water Bay Road,,141
Kwai Tsing,Tivoli Garden,,142
North,"Lai Ming House, Wah Ming Estate",,143
Sai Kung,The Palisades,,145
Eastern,Fort Mansion,,146
Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",,"147, 148"
Southern,"Wah Cheong House, Wah Fu 2 Estate",,149
Yau Tsim Mong,Hotel ICON,,150
Yau Tsim Mong,"Block A, Chungking Mansions",,151
Tuen Mun,"Tower 1, Oceania Heights",,152
Sha Tin,"Block 10, Pristine Villa",,153
Kowloon City,8 Hok Ling Street,,154
Wong Tai Sin,"Lung Chu House, Lung Poon Court",,155
Central & Western,Island Shangri-La,,156
Tai Po,"Block 16, Mayfair By The Sea",,"157, 158"
Southern,The Redhill Peninsula,,"160, 235"
Tuen Mun,"Block 4, Tuen Mun Town Plaza",,161
Yau Tsim Mong,"Tower 7, the Coronation",,162
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",,163
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,167
Wan Chai,"Tower 2, the Zenith",,168
Eastern,Hyatt Centric Victoria Harbour Hong Kong,,169
Eastern,"Block 2, Island Resort",,170
Sha Tin,"Block 8, Saddle Ridge Garden",,171
Sha Tin,Hong Kong Sports Institute Athletes' Hostel,,172
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",,173
Yau Tsim Mong,"Tower 3, Hampton Place",,"174, 222"
Kwun Tong,"Ying Lai House, Yau Lai Estate",,"175, 176"
Central & Western,Rich View Terrace,,"177, 178"
Central & Western,3A Tregunter Path,,180
Wan Chai,Sakura Court,,"181, 215"
Sai Kung,Tai Mong Tsai Road,,182
Central & Western,"Seymour Place,60 Robinson Road",,183
Southern,"Block 47, Baguio Villa",,184
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",,185
Eastern,"Block 1, Island Resort",,186
Sham Shui Po,E hotel Hong Kong,,190
Sha Tin,"Block C, Sunshine City",,191
Yau Tsim Mong,Hang Yue Court,,192
Tuen Mun,Pentahotel Hong Kong,,193
Central & Western,Conway Mansion,,194
Kowloon City,Hang Tak Yuen,,195
Kwai Tsing,"Kwai On House, Kwai Fong Estate",,196
Sai Kung,"Kwong Ning House, Kwong Ming Court",,198
Yau Tsim Mong,26 Kimberley Road,,199
Yau Tsim Mong,Imperial Hotel,,200
Yuen Long,Pak Sha Tsuen,,201
Southern,"Block 4, Repulse Bay Garden",,"203, 223"
Sha Tin,"Court B, Tower 3, Dragons Range",,204
Sai Kung,"Tower 2, The Capitol, Lohas Park",,"205, 256"
Southern,46 Island Road,,206
Central & Western,"Tower 1, Hillsborough Court",,207
Central & Western,20 Square Street,,208
Yau Tsim Mong,K11 ARTUS,,209
Wan Chai,"Tower 1, Hoover Tower",,210
Wan Chai,Tower 3 The Avenue,,"211, 214, 230"
Islands,"Block 5, Tung Chung Crescent",,212
Wan Chai,Villa Monte Rosa,,216
Central & Western,1 High Street,,217
Wan Chai,"Block A, Viking Villas",,218
Tsuen Wan,"Block 5, The Summit Terrace",,219
Tsuen Wan,Tower 1 Vision City,,220
Sham Shui Po,"Yee Kok Court, Yee Tai House",,221
Yau Tsim Mong,"Block 12, Charming Garden",,223
Central & Western,May Tower,,224
Southern,No. 4 Stanley Village Road,,225
Southern,"Tower 3, The Repulse Bay",,226
Wong Tai Sin,Tower 7 The Latitude,,226
Kowloon City,"Tower 3, Green Wood Laguna Verde",,227
Kowloon City,8 Hok Ling Street,,228
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",,229
Wan Chai,St. Regis Hong Kong,,"230, 264"
Yuen Long,"Shui Lam House, Tin Shui Estate",,231
North,"Tower 1, Green Code",,232
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",,233
Southern,"South Bay Road, Repulse Bay",,234
